,place_code,ItemID,address,local,category
72,STORE_SB0073,제주고깃집 성북구청점,서울 성북구 보문로 144,(지번) 보문동1가 9-8,"육류,고기"
73,STORE_SB0074,보문골한옥집,서울 성북구 고려대로2길 77,(지번) 보문동4가 62,한식
74,STORE_SB0075,자연에서왔소 본점,서울 성북구 성북로 36 1층,(지번) 성북동 177-36,"육류,고기"
75,STORE_SB0076,조비스그릴 성북점,서울 성북구 성북로 110,(지번) 성북동 97-30,아시아음식
76,STORE_SB0077,유자유김치떡볶이 본점,서울 성북구 고려대로24길 48 2층,(지번) 안암동5가 102-37,떡볶이
77,STORE_SB0078,카페비,서울 성북구 보문로30길 71,(지번) 동선동2가 121-2,카페
78,STORE_SB0079,기차순대국,서울 성북구 보국문로11길 18-6,(지번) 정릉동 398-9,순대
79,STORE_SB0080,세꼬시 쌍둥이수산 본점,서울 성북구 보문로 195,(지번) 삼선동4가 346,회
80,STORE_SB0081,모블러,서울 성북구 동소문로26다길 26,(지번) 동선동3가 28,카페
81,STORE_SB0082,성북동 이안,서울 성북구 성북로5길 29-19 1층,(지번) 성북동1가 105-11,양식
82,STORE_SB0083,오후홍콩 성신여대점,서울 성북구 동소문로24가길 16,(지번) 동선동1가 85-115,카페
83,STORE_SB0084,종로곱창철판닭갈비,서울 성북구 동소문로6길 8,(지번) 동소문동2가 43,"곱창,막창"
84,STORE_SB0085,원조한방삼계탕,서울 성북구 고려대로1길 92,(지번) 삼선동5가 369,삼계탕
85,STORE_SB0086,로스디아스,서울 성북구 동소문로22길 67 2층,(지번) 동선동2가 82,카페
86,STORE_SB0087,롤링파스타 성신여대점,서울 성북구 동소문로22길 5 2층,(지번) 동선동1가 104,이탈리안
87,STORE_SB0088,삼성통닭 본점,서울 성북구 고려대로24길 60,(지번) 안암동5가 104-41,치킨
88,STORE_SB0089,두껍다회선생 성북동점,서울 성북구 성북로 24 1층,(지번) 성북동 184-84,회
89,STORE_SB0090,국화정원,서울 성북구 성북로 154,(지번) 성북동 264,한식
90,STORE_SB0091,정지춘설렁탕,서울 성북구 화랑로40길 46,(지번) 석관동 133-26,설렁탕
91,STORE_SB0092,커피매터스,서울 성북구 동소문로10길 19-1,(지번) 삼선동4가 85,카페
92,STORE_SB0093,스타벅스 성신여대점,서울 성북구 동소문로24길 12,(지번) 동선동1가 92-1,커피전문점
93,STORE_SB0094,전통만두국,서울 성북구 고려대로8길 67,(지번) 안암동3가 99,한식
94,STORE_SB0095,키작은아저씨초밥,서울 성북구 동소문로24길 37,(지번) 동선동1가 85-40,"초밥,롤"
95,STORE_SB0096,우리할매떡볶이 성신여대점,서울 성북구 보문로30길 82,(지번) 동선동2가 157,떡볶이
