,store_code,ItemID,address,local,category
38,STORE_YS00039,오츠커피,서울 용산구 원효로89길 13-12,(지번) 원효로1가 48-8,카페
39,STORE_YS00040,시장회집,서울 용산구 소월로20길 38,(지번) 용산동2가 1-76,회
40,STORE_YS00041,오월의종,서울 용산구 이태원로 229 1층,(지번) 한남동 737-2,"제과,베이커리"
41,STORE_YS00042,나리의집,서울 용산구 이태원로 245,(지번) 한남동 738-24,한식
42,STORE_YS00043,롸카두들 내쉬빌핫치킨 이태원점,서울 용산구 녹사평대로40나길 9 1층,(지번) 이태원동 449-1,햄버거
43,STORE_YS00044,손문 대구막창갈매기살 용산점,서울 용산구 새창로 213-9,(지번) 한강로2가 2-194,"육류,고기"
44,STORE_YS00045,평양집,서울 용산구 한강대로 186,(지번) 한강로1가 137-1,"육류,고기"
45,STORE_YS00046,돈까스잔치 동빙고점,서울 용산구 서빙고로 297,(지번) 동빙고동 94,"돈까스,우동"
46,STORE_YS00047,문배동육칼 본점,서울 용산구 백범로90길 50,(지번) 문배동 34-1,국수
47,STORE_YS00048,버거인,서울 용산구 청파로43길 12 지하 1층,(지번) 청파동3가 44,햄버거
48,STORE_YS00049,다츠,서울 용산구 이태원로55나길 6,(지번) 한남동 744-5,퓨전요리
49,STORE_YS00050,오리지널 팬케익하우스 이태원점,서울 용산구 이태원로 153 덕흥빌딩 1층,(지번) 이태원동 172-2,디저트카페
50,STORE_YS00051,창성옥 용문본점,서울 용산구 새창로 124-10,(지번) 용문동 25-16,해장국
51,STORE_YS00052,일미집,서울 용산구 후암로 1-1 1층,(지번) 후암동 194-3,감자탕
52,STORE_YS00053,고메이494 한남점,서울 용산구 한남대로 91,(지번) 한남동 829,푸드코트
53,STORE_YS00054,우스블랑,서울 용산구 효창원로70길 4,(지번) 효창동 5-51,"제과,베이커리"
54,STORE_YS00055,동아냉면,서울 용산구 우사단로 5,(지번) 보광동 265-576,냉면
55,STORE_YS00056,도동집,서울 용산구 후암로 80,(지번) 후암동 439-13,퓨전한식
56,STORE_YS00057,테라로사 한남점,"서울 용산구 이태원로36길 15 지하1,2층",(지번) 한남동 736-4,커피전문점
57,STORE_YS00058,현선이네 용산본점,서울 용산구 한강대로39길 2-13,(지번) 한강로2가 305-1,분식
58,STORE_YS00059,한와담 한남본점,서울 용산구 독서당로 65-1 2층,(지번) 한남동 75-1,"육류,고기"
59,STORE_YS00060,트래버틴,서울 용산구 한강대로7길 18-7,(지번) 한강로3가 40-317,커피전문점
60,STORE_YS00061,홍철책빵 (휴업중),서울 용산구 한강대로102길 57,(지번) 후암동 123-11,"제과,베이커리"
61,STORE_YS00062,오만지아,서울 용산구 유엔빌리지길 14,(지번) 한남동 274-13,이탈리안
62,STORE_YS00063,한남북엇국,서울 용산구 독서당로 65-7,(지번) 한남동 73-2,한식
63,STORE_YS00064,벽돌해피푸드,서울 용산구 이태원로 238,(지번) 한남동 683-134,중식
64,STORE_YS00065,매덕스피자,서울 용산구 이태원로26길 26 2층,(지번) 이태원동 129-9,피자
65,STORE_YS00066,부엉이돈가스 남산서울타워점,서울 용산구 남산공원길 105 2층 202B호,(지번) 용산동2가 1-3,"돈까스,우동"
66,STORE_YS00067,일일향,서울 용산구 한강대로40길 26 2층,(지번) 한강로2가 147,중화요리
67,STORE_YS00068,잠수교집 본점,서울 용산구 장문로 81 1층,(지번) 보광동 217-13,"육류,고기"
68,STORE_YS00069,동아냉면 이태원점,서울 용산구 대사관로 45-1,(지번) 한남동 657-43,냉면
69,STORE_YS00070,언더야드,서울 용산구 한남대로27가길 26,(지번) 한남동 729-13,커피전문점
70,STORE_YS00071,오아시스 한남점,"서울 용산구 이태원로45길 30 1,2층",(지번) 한남동 745-10,디저트카페
71,STORE_YS00072,꾸띠자르당,서울 용산구 보광로 120,(지번) 이태원동 131-23,패밀리레스토랑
72,STORE_YS00073,열정도쭈꾸미,서울 용산구 백범로87길 40,(지번) 원효로1가 121-45,"해물,생선"
73,STORE_YS00074,쉐이크쉑 용산아이파크몰점,서울 용산구 한강대로23길 55 1층,(지번) 한강로3가 40-999,햄버거
74,STORE_YS00075,노스트레스버거,서울 용산구 신흥로 62,(지번) 용산동2가 24-17,햄버거
75,STORE_YS00076,바다식당,서울 용산구 이태원로 245 2층,(지번) 한남동 738-24,"찌개,전골"
76,STORE_YS00077,삼각지원대구탕 본점,서울 용산구 한강대로62가길 8-1 1층,(지번) 한강로1가 142-1,"매운탕,해물탕"
77,STORE_YS00078,써머레인,서울 용산구 이태원로55가길 49 1층,(지번) 한남동 738-13,디저트카페
78,STORE_YS00079,세미계 본점,서울 용산구 대사관로 34 1층,(지번) 한남동 653-95,닭요리
79,STORE_YS00080,밥한끼,서울 용산구 독서당로 65-3 1층,(지번) 한남동 72-17,"돈까스,우동"
80,STORE_YS00081,뇨끼바,서울 용산구 한남대로20길 41-4,(지번) 한남동 31-13,이탈리안
81,STORE_YS00082,레호이,서울 용산구 소월로38가길 5,(지번) 이태원동 261-9,동남아음식
82,STORE_YS00083,키에리 이태원점,서울 용산구 이태원로26길 16-8 1층,(지번) 이태원동 73-7,디저트카페
83,STORE_YS00084,비스테까 이태원본점,서울 용산구 회나무로 49,(지번) 이태원동 211-33,이탈리안
84,STORE_YS00085,로코스비비큐,서울 용산구 회나무로 83,(지번) 이태원동 2-5,양식
85,STORE_YS00086,아베크엘카페,서울 용산구 두텁바위로69길 29,(지번) 후암동 41-1,카페
86,STORE_YS00087,인바이티드,서울 용산구 한강대로52길 41,(지번) 한강로1가 221-8,카페
87,STORE_YS00088,아티장베이커스,서울 용산구 한남대로18길 26 1층,(지번) 한남동 30-3,"제과,베이커리"
88,STORE_YS00089,버터북,서울 용산구 신흥로15길 20,(지번) 용산동2가 31-2,디저트카페
89,STORE_YS00090,쏭타이 이태원점,서울 용산구 이태원로20가길 7-2 2층,(지번) 이태원동 72-14,태국음식
90,STORE_YS00091,조대포 남영본점,서울 용산구 한강대로 272-1 1층,(지번) 남영동 82-3,"육류,고기"
91,STORE_YS00092,서울루덴스,서울 용산구 회나무로 69 지하1층,(지번) 이태원동 5-12,카페
92,STORE_YS00093,한남베르그,서울 용산구 이태원로54길 58-26 1층,(지번) 한남동 683-76,카페
93,STORE_YS00094,플랜트 이태원,서울 용산구 보광로 117 2층,(지번) 이태원동 130-43,양식
94,STORE_YS00095,카데뜨,서울 용산구 한강대로 200-1 1층,(지번) 한강로1가 14-30,디저트카페
95,STORE_YS00096,초원,서울 용산구 한강대로80길 7,(지번) 남영동 80-4,"육류,고기"
96,STORE_YS00097,자코비버거,서울 용산구 신흥로 38,(지번) 용산동2가 45-6,햄버거
97,STORE_YS00098,카키바움,서울 용산구 한강대로52길 29,(지번) 한강로1가 225-1,카페
98,STORE_YS00099,오잇,서울 용산구 신흥로 95,(지번) 용산동2가 1-471,카페
99,STORE_YS00100,소이연남 한남점,서울 용산구 한남대로20길 47-10 2층,(지번) 한남동 31-5,동남아음식
100,STORE_YS00101,라구,서울 용산구 신흥로 42 1층,(지번) 용산동2가 45-4,"스테이크,립"
101,STORE_YS00102,해운대암소갈비집,서울 용산구 대사관로 40,(지번) 한남동 653-24,갈비
