,store_code,ItemID,address,local,category
92,STORE_JRO00093,일품당 광화문점,서울 종로구 세종대로23길 25,(지번) 당주동 16-1,샤브샤브
93,STORE_JRO00094,동백양과점 익선점,서울 종로구 수표로28길 17-24,(지번) 익선동 166-73,커피전문점
94,STORE_JRO00095,광화문뚝감,서울 종로구 새문안로3길 21,(지번) 당주동 128-14,감자탕
95,STORE_JRO00096,레이지버거클럽,서울 종로구 창의문로 137 1층,(지번) 부암동 254-7,햄버거
96,STORE_JRO00097,하림각,서울 종로구 자하문로 255,(지번) 부암동 188,중화요리
97,STORE_JRO00098,창화당 익선동점,서울 종로구 수표로28길 23,(지번) 익선동 174,분식
98,STORE_JRO00099,칸다소바 혜화점,서울 종로구 대학로 131-1 1층,(지번) 명륜4가 24,일본식라면
99,STORE_JRO00100,샤오바오우육면,서울 종로구 삼일대로17길 15 1층,(지번) 관철동 12-24,중화요리
100,STORE_JRO00101,북한산제빵소 광화문점,서울 종로구 경희궁2길 10,(지번) 내수동 110-9,"제과,베이커리"
101,STORE_JRO00102,신도세기 종로점,서울 종로구 삼일대로17길 51 스타골드빌딩 1층,(지번) 관철동 180,"육류,고기"
102,STORE_JRO00103,더키친750,서울 종로구 대학로8가길 80 2층,(지번) 동숭동 1-73,양식
103,STORE_JRO00104,롤인익선,서울 종로구 삼일대로30길 37,(지번) 익선동 93,"초밥,롤"
104,STORE_JRO00105,이태리재,서울 종로구 율곡로1길 74-9 1층,(지번) 소격동 158-1,이탈리안
105,STORE_JRO00106,버거파크 혜화점,서울 종로구 대학로11길 5 1층,(지번) 명륜4가 101-2,햄버거
106,STORE_JRO00107,평양고깃집,서울 종로구 인사동5길 14 2층,(지번) 관훈동 198-32,"육류,고기"
107,STORE_JRO00108,살라댕방콕,서울 종로구 돈화문로11다길 40,(지번) 익선동 166-16,양식
108,STORE_JRO00109,가스트로통,서울 종로구 자하문로6길 11-36,(지번) 통의동 25-2,양식
109,STORE_JRO00110,밀크홀1937 종로점,서울 종로구 종로 86-1,(지번) 종로2가 71-5,카페
110,STORE_JRO00111,남도분식 서촌점,서울 종로구 옥인2길 2,(지번) 누상동 52,분식
111,STORE_JRO00112,노가리슈퍼 익선점,서울 종로구 수표로28길 28,(지번) 돈의동 30,"호프,요리주점"
112,STORE_JRO00113,루뽀,서울 종로구 새문안로5길 31 센터포인트빌딩 2층,(지번) 도렴동 65,와인바
113,STORE_JRO00114,라카페갤러리,서울 종로구 자하문로10길 28,(지번) 통의동 10,갤러리카페
114,STORE_JRO00115,깃대봉냉면 창신본점,서울 종로구 지봉로12길 3,(지번) 숭인동 56-25,냉면
115,STORE_JRO00116,호반,서울 종로구 삼일대로26길 20,(지번) 낙원동 85-7,한식
